StyleID;text;rating
1709054;Die sind okay und dann für den Preis. ;5
1709054;Qualität und Preis sind gut. Leider sind sie zu groß.  Die Größen fallen immer unterschiedlich aus, sodaß es bei dem einen Shirt paßt und bei dem anderen nicht. Schade;3
8623725;lässt schlanker aussehen;5
8623725;Material und Farbe gut. Da einige Kundinnen in der Bewertung über relative Enge geklagt hatten, wählte ich eine Konfektionsgröße höher(44). Leider war der Badeanzug um den Po herum zu weit, kein schöner Abschluss. Ich habe ihn zurück geschickt.;3
9743730;Material ist schön zum verdunkel.  Leider doch zu kurz für mein Fenster. Schade.;5
1709054;Tolle Qualität , immer wieder gerne;5
655046;der BH gefällt mir sehr gut beim joggen rutschen keine Träger runter, super!!;5
553018;Sehr bequem ;5
434886;Material gut Farbe und aussehen der Hose auch;4
654563;Trage doch lieber ohne Bügel. Bin auch der Meinung das die BH etwas klein ausfallen.;3
709229;Angenehmer Stoff. Füllt sich gut auf der Haut an. ;5
553018;Sehr schõne Farbe und gute Qualität ;5
709229;Schnitt nicht vorteilhaft darum zurück ;2
9743730;Der Vorhang entspricht voll und ganz meinen Vorstellungen. Er fällt schön und wirkt in beige sehr edel. Die Verdunklung funktioniert sehr gut, so das für mich der etwas hohe Preis gerechtfertigt ist.;5
515928;Hatte ich passend zum BH gekauft. Ganz furchtbar: viel zu eng, viel zu klein. Habe ich so bei bonprix noch nicht erlebt.;1
515928;Sehr zufrieden;5
515928;Sehr schöner und bequemer Slip für das Geld. Mit dem passenden BH eine sehr schöne Garnitur. Würde ich wieder kaufen.;5
709229;Bon Brix hat immer das passende für mich,das finde ich einfach genial.;5
655046;Material und Farbe super;4
655046;Material und Farbe super;4
515928;Material, Größe (Paßform), Bezahlmöglichkeiten, Lieferung, alles sehr gut. Angenehmes Material;5
1709054;Material, Größe (Paßform), Farbkombinationen, Bezahlmöglichkeiten, Lieferung, alles sehr gut. Angenehmes Material;5
515928;gutes elastisches Material , passt sehr gut;5
655046;Sehr gute Qualität ;5
8623725;Material und Form richtig gut ... vertuscht auch ein paar kg zu viel ;5
515928;Passend zum BH gekauft, sitz gut auch nach  mehrmaligen Waschen.;5
8623725;Wäre schön aber Material zu dick und zu fest fühle ich mich nicht wohl.;3
654563;Gut;3
654563;Bügel BH waren von der Qualität und Farbe sehr schön .Gingen leider zurück Körbchen zu klein.Ansonsten alles OK.;4
8623725;War mir in 44 zu klein, ziemlich eng geschnitten.;4
515928;Nicht anprobiert, da mir der BH den ich dazu bestellte nicht passte.;4
655046;hab ihn mir besser vorgestellt;2
654563;Das Material war nicht so schön,deshalb saß er nicht so wie gewohnt. Aber der Preis war super.;3
709229;Sehr schönes Material, optimal für heisse Tage.;5
434886;Gute Qualität.  Gute passform. Mein Mann ist begeistert. ;5
553018;Sehr schlechte Qualität, dünnes Material, schlechte Sohle.... Wer sich seine Füße nicht platt laufen will, lässt besser die Finger davon!;1
709229;sah wider Erwarten langweilig aus und eher wie ein Nachthemd!!;2
553018;Für schmale Füße nicht geeignet, da der Fuß sehr unschmeichelhaft zur Geltung kommt. Schicke das Paar wieder zurück. ;2
9743730;Qualität der Ware ist gut, man könnte noch dazuschreiben das man das Kreuselband noch besorgen muss, ich dachte man kann den Vorhang direkt aufhängen. Recht lange Wartezeit von 3 Wochen.;4
9743730;gut weich fließende Qualität. schönes silbergrau. Solide verarbeitet.;5
9743730;"hab mir die gardinen einmal in allen farben bestellt und in 4 facher ausführung... das orange ist wirklich eher ein ausgewaschens ""dreck orange"" und grün kam 3 mal in einer schönen farbe und einmal ganz andere qualität und ausgewaschens grün...  an sich scheint die qualität aber zu passen, hat sich super angefühlt und macht dunkel";3
44970574;Preisleistungsvethältnis TOP, Farbe super, Qualität völlig okay...;4
654563;An sich ist der BH sehr bequem und sitzt angenehm. Leider sind die Träger und der Verschluss hinten sehr breit (wesentlich breiter, als auf dem Bild abgebildet) und zudem bestehen die Träger aus stark elastischem Material, was dazu führt, dass bei mehr Oberweite der Verschluss hinten automatisch nach oben gezogen wird. Für den Preis und als Alltags-BH schon tauglich, schön anzusehen ist er aber mit der Zeit des Tragens nicht mehr.;2
1709054;Ich habe mit diesen Shirts nur gute Erfahrungen gemacht. Leider vermisse ich in letzter Zeit die grau/weiß/schwarzen Packungen. 10.03.08 YE: ok? nicht freischalten, tm ;4
9743730;Da ich kürzlich renoviert habe passen die Vorhänge ganz hervorragend in das Zimmer. Ganz besonders möchte ich die schnelle Lieferung hervorheben. Großartiger Service von bon prix.;5
9743730;Festes gut fallendes Material ,läßt sich gut waschen und sofort wieder aufhängen .Kein bügeln notwendig .Wie in der Produktbeschreibung angegeben Verdunklung und Hitze-Kälte isolierend wird erfüllt .in der Farbe weiß hätte mir besser gefallen gibt es aber leider nicht;4
9743730;Wir sind sehr zufrieden.;5
434886;Material ist klasse. Passform perfekt. Preis klasse. ;5
654563;Sehr angenehmes tragegefühl, gute passform, gute verarbeitung und Material ;5
654563;Bin sehr zufrieden mit diesen BH's. Sitzen gut und sind dadurch, dass sie aus Baumwolle sind, besonders angenehm bei hoher Wärme. ;5
553018;Sehr bequeme Schuhe. Ich kann sie nur empfehlen.;5
9743730;super Qualität, sehr schöne Farbe;4
654563;Tragen sich durch die Baumwolle,nur könnten etwas bequemere Bügel vertragen,den durch aktives bewegen,scheuern sie etwas auf der Haut;4
9743730;Material, Qualität, Preis sind echt top. Danke;5
9743730;Die Farbe ist wie abgebildet. Dunkelt gut ab. Gardine in Ordnung. ;4
655046;So alles ok;2
655046;ein super Sport BH, Artikel hält was er verspricht ;5
515928;Ich mag diese Unterhosen sehr. Sie sitzen sehr gut und sind aus angenehmem Material. Ich haben sie in mehreren Farben.;5
8623725;Schicke Form, kaschiert prima. Besser mit festen Cups.;5
